SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1329.25,1333.00,1314.00,1316.05,1314.00,1318.40,199,800,1057155.00,
500003,AEGIS LOGIS ,A ,Q,189.90,189.90,182.05,183.40,183.00,186.05,564,10230,1899725.00,
500008,AMAR RAJA BA,A ,Q,630.00,630.00,617.20,620.70,622.75,622.20,328,10706,6658915.00,
500009,A.SARABHAI  ,X ,Q,10.85,10.98,10.66,10.84,10.90,10.51,33,9640,104988.00,
500010,HDFC        ,A ,Q,2109.90,2109.90,2040.00,2043.70,2043.70,2099.80,7229,131167,269757553.00,
500012,ANDHRA PETRO,X ,Q,39.00,40.35,37.70,38.30,38.30,38.80,170,25827,990997.00,
500013,ANSAL INFRAS,B ,Q,4.10,4.22,3.93,4.19,4.19,4.02,51,24028,100402.00,
500014,APPLE FINANC,XT,Q,1.05,1.09,1.05,1.09,1.09,1.09,3,406,436.00,
500020,BOM DYEING  ,A ,Q,86.10,87.20,82.85,86.00,86.00,83.80,3911,466641,39805129.00,
500024,ASSAMCO     ,T ,Q,0.87,0.87,0.87,0.87,0.87,0.91,10,36940,32137.00,
500027,ATUL LTD.   ,A ,Q,3466.40,3517.00,3445.00,3455.00,3462.35,3445.20,147,344,1194827.00,
500028,ATV PROJECTS,XT,Q,3.75,3.77,3.75,3.76,3.76,3.75,3,113,424.00,
500029,AUTOLITE(I) ,B ,Q,22.85,22.85,19.75,20.05,20.05,21.00,324,673,13626.00,
500031,BAJAJ ELECT.,A ,Q,377.50,380.95,370.25,371.20,370.25,375.85,291,3322,1238925.00,
500032,BAJAJHIND   ,B ,Q,6.77,7.05,6.21,6.86,6.82,6.45,765,553386,3666000.00,
500033,FORCE MOTR  ,A ,Q,1199.30,1211.45,1190.00,1197.95,1195.00,1184.75,1117,13645,16372567.00,
500034,BAJFINANCE  ,A ,Q,3289.00,3304.80,3243.80,3291.40,3295.00,3250.05,3989,66095,216802443.00,
500038,BALRAM.CHINI,A ,Q,133.45,135.00,131.45,132.30,131.85,132.65,544,44582,5963024.00,
500039,BANCO PROD. ,B ,Q,95.65,98.80,95.65,97.35,97.35,94.45,109,1593,154854.00,
500040,CENTURY TEXT,A ,Q,843.00,851.70,834.70,844.40,844.40,840.90,604,14281,12054452.00,
500041,BANNARI AMAN,B ,Q,1132.15,1200.00,1080.05,1111.95,1111.95,1142.00,20,40,44312.00,
500042,BASF INDIA  ,A ,Q,1023.55,1023.55,1013.00,1015.45,1013.00,1020.80,24,84,85396.00,
500043,BATA INDIA  ,A ,Q,1535.40,1551.00,1516.55,1521.45,1520.20,1540.90,1119,27134,41326888.00,
500048,BEML LTD    ,A ,Q,799.90,834.90,793.65,816.00,816.00,795.50,2679,70447,57382737.00,
500049,BHARAT ELECT,A ,Q,107.00,109.50,106.20,107.75,107.75,106.55,4579,1162862,124968370.00,
500052,BHANSALI ENG,B ,Q,52.85,54.20,52.50,53.55,53.40,52.05,785,59576,3190828.00,
500055,TATASTLBSL  ,B ,Q,21.90,21.95,21.40,21.60,21.45,21.25,96,24053,520741.00,
500058,BIHAR SPONGE,XT,Q,0.62,0.62,0.62,0.62,0.62,0.65,5,310,192.00,
500059,BINANI IND. ,T ,Q,11.19,12.19,11.19,11.31,11.88,11.77,16,1572,17955.00,
500060,BIRLACABLE  ,B ,Q,42.80,43.65,42.50,42.80,42.80,42.65,44,9199,393554.00,
500067,BLUE STAR   ,A ,Q,711.15,720.15,704.80,715.75,713.10,708.30,52,252,178998.00,
500068,DISA INDIA  ,X ,Q,5275.00,5275.00,5274.00,5274.35,5274.00,5200.00,4,75,395575.00,
500069,BNK CAPITAL ,X ,Q,74.75,74.75,74.75,74.75,74.75,74.75,1,2451,183212.00,
500074,BPL LTD.    ,B ,Q,15.55,17.20,15.45,16.70,16.60,15.40,194,11364,188836.00,
500078,OAL         ,B ,Q,183.00,183.05,183.00,183.05,183.00,180.55,5,94,17204.00,
500083,CENTURY EXT ,B ,Q,2.85,2.85,2.60,2.60,2.60,2.75,11,1804,4771.00,
500084,CESC LTD.   ,A ,Q,764.10,767.90,757.40,764.30,762.50,754.30,134,1738,1324950.00,
500085,CHAMBAL FERT,A ,Q,159.00,164.50,159.00,161.65,161.65,157.25,562,16147,2604703.00,
500086,EXIDE IND.  ,A ,Q,175.00,178.50,173.80,178.00,178.00,173.10,747,44229,7816502.00,
500087,CIPLA LTD.  ,A ,Q,471.00,479.40,470.75,478.35,478.35,471.15,711,35367,16824143.00,
500089,DIC INDIA   ,B ,Q,309.00,325.00,309.00,321.70,312.25,298.80,21,1025,329126.00,
500092,CRISIL LTD  ,A ,Q,1282.00,1294.20,1255.05,1269.00,1265.10,1290.20,249,1365,1729556.00,
500093,CGPOWER     ,A ,Q,12.03,12.03,12.03,12.03,12.03,11.46,31,7958,95734.00,
500096,DABUR (I)   ,A ,Q,443.00,445.35,437.45,439.05,438.00,442.15,490,24931,11000538.00,
500097,DALMIASUG   ,B ,Q,78.45,78.45,74.60,75.50,75.45,76.50,111,3878,293607.00,
500101,ARVIND Ltd  ,A ,Q,46.95,50.65,46.75,49.40,49.40,46.60,2350,1056481,52116261.00,
500102,BALARPUR IND,B ,Q,0.64,0.67,0.64,0.64,0.64,0.67,49,181275,116116.00,
500103,BHEL        ,A ,Q,50.25,52.45,50.25,51.15,51.15,50.05,3318,1759297,90562407.00,
500104,HIND.PETRO  ,A ,Q,256.80,274.90,255.40,264.85,264.85,257.05,5719,499518,133277463.00,
500106,IFCI LTD    ,A ,Q,7.05,7.36,7.05,7.11,7.11,7.02,237,98067,702601.00,
500108,MAHA.TELE   ,B ,Q,5.37,5.60,5.29,5.54,5.57,5.37,170,131554,718281.00,
500109,MRPL        ,A ,Q,46.95,49.60,45.60,46.75,46.45,45.25,930,97762,4692356.00,
500110,CHENNAI PET.,A ,Q,187.90,197.35,187.90,189.45,188.40,186.20,869,16040,3088708.00,
500111,REL.CAP.    ,A ,Q,34.20,35.60,33.20,35.10,35.10,34.15,5605,3073853,105866020.00,
500112,STATE BANK  ,A ,Q,275.40,276.30,271.15,273.15,273.15,274.95,6977,1163219,317968778.00,
500113,STEEL AUTH. ,A ,Q,32.80,33.25,32.10,32.45,32.45,32.25,2182,1972582,64455040.00,
500114,TITAN       ,A ,Q,1039.80,1053.05,1036.80,1048.70,1048.70,1037.50,3032,100615,105239157.00,
500116,IDBI BANK L ,A ,Q,27.50,27.85,26.35,27.25,27.25,27.05,1783,945777,25578856.00,
500117,DCW LTD.    ,B ,Q,15.60,16.10,15.35,15.45,15.40,15.60,72,20401,319781.00,
500119,DHAMPUR SUGA,B ,Q,146.75,149.80,146.50,147.55,147.55,146.75,543,31795,4693980.00,
500120,DIAMINES&CHM,X ,Q,111.00,111.35,107.20,107.25,107.20,110.00,25,1049,114573.00,
500123,ELANTAS     ,B ,Q,2017.45,2025.00,1969.95,1982.35,1990.00,2014.65,77,896,1793085.00,
500124,DR.REDDY'S  ,A ,Q,2620.00,2691.85,2620.00,2681.45,2681.45,2601.70,2589,23970,63932292.00,
500125,E.I.D.PAR   ,A ,Q,148.30,149.50,148.00,148.45,148.50,148.65,241,26111,3873472.00,
500126,PGHL        ,A ,Q,4046.00,4136.10,4029.00,4043.35,4043.35,4040.05,230,610,2476563.00,
500128,ELEC.CASTING,B ,Q,14.64,16.84,14.64,15.79,15.76,14.60,210,33956,530871.00,
500133,ESAB INDIA  ,B ,Q,994.40,1008.60,994.40,1007.00,1007.00,1001.65,9,121,121244.00,
500135,ESSEL PROP  ,B ,Q,103.75,105.15,102.05,103.50,103.60,105.05,98,2808,291582.00,
500136,ESTER INDUS.,B ,Q,33.70,33.70,32.15,32.95,32.95,31.95,287,6857,223467.00,
500141,FERRO ALLOYS,X ,Q,2.90,2.98,2.75,2.87,2.88,2.88,31,13060,37734.00,
500143,P.H.CAPITAL ,X ,Q,15.05,15.05,15.05,15.05,15.05,14.37,2,84,1264.00,
500144,FINOL. CABLE,A ,Q,365.95,367.90,364.50,366.50,366.50,363.35,191,1587,580819.00,XD
500147,CMI FPE     ,X ,Q,772.05,798.00,772.05,775.00,774.00,796.85,8,96,75024.00,
500148,UFLEX LTD   ,A ,Q,203.25,208.20,202.00,204.15,203.00,205.25,1781,21552,4427677.00,
